Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_squadra_time,mean_N_queue_green_squadra,mean_service_green_squadra_time,mean_response_green_squadra_time,mean_N_centre_green_squadra,green_squadra_rho,mean_queue_green_modulo_time,mean_N_queue_green_modulo,mean_service_green_modulo_time,mean_response_green_modulo_time,mean_N_centre_green_modulo,green_modulo_rho,job_arrived,red_job_arrived,yellow_job_arrived,green_job_arrived,job_completed_percentage,red_job_completed_percentage,yellow_job_completed_percentage,green_job_completed_percentage
1,0.0,0.0,1.7621221269050036,1.7621221269050036,0.017306556603531285,0.008653278301765642,10.095146140335418,0.05207813485093667,53.60710036867849,63.702246509013904,0.328622700244913,0.2765445653939763,56.64474220868868,0.15734650613524634,64.91827847754469,93.23668781248023,0.33767505746175935,0.18032855132651301,16.59205263308825,0.011522258772977951,130.20451236414834,141.19567809027774,0.10194205902585875,0.0904198002528808,27.199711534344846,0.03238060896945815,161.79179564796166,188.9915071823065,0.22498988950274584,0.19260928053328769,99,52,28,19,0.8484848484848485,1.0,0.6071428571428571,0.7894736842105263
2,0.0,0.0,1.5784387423263895,1.5784387423263895,0.011117971300116434,0.005558985650058217,10.136632133784712,0.032179784551697496,67.52709780271874,77.66372993650346,0.2465515236079475,0.21437173905624998,47.74164876585912,0.1515607897328861,96.582234214151,154.6294708882195,0.4581710570793972,0.3066102673465111,0.0,0.0,139.05144280650188,172.99610513697132,0.04138435797812556,0.04138435797812556,0.0,0.0,204.94852968621362,204.94852968621362,0.060996586216135004,0.060996586216135004,71,32,32,6,0.8732394366197183,1.0,0.78125,0.8333333333333334
3,0.0,0.0,1.5352422056007753,1.5352422056007753,0.015078271662150472,0.007539135831075236,9.859968565355288,0.04597405977893835,61.183920862482026,71.04388942783731,0.33125623046709857,0.2852821706881602,58.448764929290014,0.150760703190629,81.0922233018959,164.1152935725024,0.3599271521836145,0.20916644899298548,3.2050118524144775,0.0041334478255345445,135.65079772512848,167.4498549653701,0.1790799131456407,0.17494646532010616,0.0,0.0,203.25040278635535,203.25040278635535,0.2621284956570059,0.2621284956570059,99,47,26,26,0.7777777777777778,1.0,0.4230769230769231,0.7307692307692307
4,0.0,0.0,1.3296076113303061,1.3296076113303061,0.01134387446174666,0.00567193723087333,7.374875718724218,0.028533745340302036,60.46179264384553,67.83666836256975,0.26246330021232345,0.23392955487202138,25.9793314569856,0.06443286571673017,80.6554969511915,106.59325302978716,0.2644713006155186,0.20003843489878845,22.375159373181575,0.024417336617559255,142.69868029779136,218.74868678625086,0.18014010281554585,0.15572276619798658,0.0,0.0,198.0514915942336,198.0514915942336,0.19647965435935874,0.19647965435935874,86,39,25,21,0.8023255813953488,1.0,0.6,0.7142857142857143
5,0.0,0.0,1.2708487104995374,1.2708487104995374,0.010464329659867223,0.0052321648299336115,12.295629101470055,0.048792178974087524,63.04932187830998,75.34495097978004,0.29898790071341286,0.2501957217393253,15.432938888032092,0.04286927468897803,74.06751333582964,113.41632134925273,0.24861236728850483,0.2057430925995268,0.0,0.0,153.28538107765755,302.23833337028896,0.09124129826051045,0.09124129826051045,0.0,0.0,279.206796747203,279.206796747203,0.2215926958311135,0.2215926958311135,83,40,28,14,0.8192771084337349,1.0,0.6428571428571429,0.7142857142857143
6,0.0,0.0,1.2736750032546693,1.2736750032546693,0.012382951420531507,0.006191475710265753,22.684853067232567,0.1102735912990472,68.73338862500518,91.41824169223776,0.44439423044837795,0.3341206391493307,72.28368914213614,0.20795902630178056,75.00432101727077,177.92322411516773,0.4237452673236905,0.21578624102190996,4.2256668113666365,0.0037729167958630684,208.1609067954415,215.9994011669209,0.18963086929179296,0.1858579524959299,3.9488716584287844,0.004309284547888555,165.92624967113522,169.875121329564,0.18537959668900833,0.18107031214111977,98,49,29,20,0.8571428571428571,1.0,0.6896551724137931,0.75
7,0.0,0.0,1.5892378394267046,1.5892378394267046,0.013243648661889205,0.0066218243309446026,8.417788484779056,0.0350741186865794,51.314418891310076,59.732207376089136,0.24888419740037138,0.21381007871379198,25.4756422881221,0.06571098209237843,81.6699069394506,128.21032380223548,0.2763674880869931,0.21065650599461463,0.0,0.0,107.20826228532069,173.18828317924044,0.08508592244866721,0.08508592244866721,0.0,0.0,180.84140059345214,180.84140059345214,0.1255843059676751,0.1255843059676751,84,42,26,15,0.8214285714285714,1.0,0.6923076923076923,0.6
8,0.0,0.0,1.454042678298558,1.454042678298558,0.011251520724929319,0.0056257603624646595,2.0436295088571446,0.008515122953571435,57.8240576457704,59.867687154627546,0.24944869647761478,0.24093357352404335,21.512285062662865,0.038414794754755115,98.08514879967214,138.0615683273898,0.21356684618274105,0.17515205142798596,0.0,0.0,144.00964447621843,262.99843366371374,0.17144005294787906,0.17144005294787906,0.0,0.0,157.27890181916757,157.27890181916757,0.07801532828331725,0.07801532828331725,78,42,18,17,0.8205128205128205,1.0,0.7222222222222222,0.5294117647058824
9,0.0,0.0,1.5277806156186189,1.5277806156186189,0.01455029157732018,0.00727514578866009,9.343839008261355,0.04449447146791122,64.24218188908384,73.5860208973452,0.3504096233206914,0.3059151518527802,24.415604767726514,0.07993203941815229,82.61653730633209,105.42011675949688,0.3504028460757871,0.27047080665763484,0.0,0.0,116.03507356868022,41.17651549160598,0.08057991220047238,0.08057991220047238,0.0,0.0,66.17233135701508,66.17233135701508,0.04595300788681603,0.04595300788681603,96,48,33,14,0.8125,1.0,0.6666666666666666,0.5714285714285714
10,0.0,0.0,1.6116277920321338,1.6116277920321338,0.013270347890740783,0.006635173945370392,39.786246499070636,0.1578819305518676,70.72382275946659,110.51006925853724,0.43853202086721116,0.2806500903153436,84.73183149173077,0.2101483915965545,83.64653612226147,242.62169791944282,0.4176050784077188,0.20745668681116433,8.119131651668521,0.008054694098877503,224.60483321576197,203.40768912295385,0.23087694927324454,0.22282225517436705,10.135774163460544,0.007038732057958711,168.78183194490848,178.91760610836903,0.12424833757525627,0.11720960551729756,83,40,25,17,0.7710843373493976,1.0,0.52,0.6470588235294118
